username,school
TEST1g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST2g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST3g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST4g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST5g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST6g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST7g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST8g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST9g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST10g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST11g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST12g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST13g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST14g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST15g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST16g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST17g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST18g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST19g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TESTg0g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TESTg1g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TESTg2g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TESTg3g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TESTg4g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TESTg5g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TESTg6g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TESTg7g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TESTg8g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TESTg9g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST30g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST31g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST32g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST33g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST34g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST35g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST36g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST37g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST38g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST39g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST40g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST41g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST42g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST43g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST44g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST45g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST46g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST47g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST48g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST49g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
TEST50g@ItalyRIAS1June2023.eu,ItalyRIAS1June2023TEST
