username;school;experimentID;server 
usrQo02!toMK1@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK2@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK3@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK4@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK5@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK6@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK7@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK8@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK9@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK10@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK11@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK12@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK13@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK14@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK15@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK16@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK17@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK18@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK19@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK20@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK21@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK22@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK23@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK24@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK25@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK26@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK27@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK28@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK29@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK30@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK31@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK32@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK33@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK34@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK35@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK36@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK37@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK38@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK39@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
usrQo02!toMK40@RIAS14Jan2022.eu;RIAS14Jan2022;SeptTest;
